States,Latitude,Longitude,Reported,Sigma,Delta,Today,Day,Population,TNaught,TN,perDelta
Andhra Pradesh,15.9129,79.74,2020-04-21,3330,-43,0,39,57013668,111,112,-1.29
Assam,26.2006,92.9376,2020-04-21,1058,95,33,39,35886412,111,128,8.98
Bihar,25.0961,85.3131,2020-04-21,3359,25,0,39,119714369,111,112,0.74
Chandigarh,30.7333,76.7794,2020-04-21,289,-11,0,39,1213767,111,119,-3.81
Chhattisgarh,21.2787,81.8661,2020-04-21,415,-17,0,39,29376977,111,124,-4.1
Delhi,28.7041,77.1025,2020-04-21,17386,81,0,39,19306132,111,112,0.47
Goa,15.2993,74.124,2020-04-21,69,-1,0,39,1677326,111,141,-1.45
Gujarat,22.2587,71.1924,2020-04-21,15944,5,0,39,69505645,111,112,0.03
Haryana,29.0588,76.0856,2020-04-21,1721,94,0,39,29154181,111,112,5.46
Himachal Pradesh,31.1048,77.1734,2020-04-21,295,6,0,39,7894292,111,129,2.03
Jammu and Kashmir,33.7782,76.5762,2020-04-21,2164,13,0,39,14107086,111,112,0.6
Jharkhand,23.6102,85.2799,2020-04-21,521,39,0,39,37936354,111,114,7.49
Karnataka,15.3173,75.7139,2020-04-21,2781,133,0,39,70259591,111,112,4.78
Kerala,10.8505,76.2711,2020-04-21,1151,-21,0,39,38416970,111,112,-1.82
Ladakh,34.152588,77.577049,2020-04-21,74,-20,0,39,315100,111,145,-27.03
Madhya Pradesh,22.9734,78.6569,2020-04-21,7645,0,0,39,83520830,111,112,0.0
Maharashtra,19.7515,75.7139,2020-04-21,62228,84,0,39,129230483,111,112,0.13
Manipur,24.6637,93.9063,2020-04-21,59,-7,0,39,2955948,111,149,-11.86
Odisha,20.9517,85.0985,2020-04-21,1723,-4,0,39,48270350,111,112,-0.23
Puducherry,11.9416,79.8083,2020-04-21,53,-4,0,39,1435145,111,149,-7.55
Punjab,31.1471,75.3412,2020-04-21,2197,20,0,39,31904838,111,112,0.91
Rajasthan,27.0238,74.2179,2020-04-21,8365,47,0,39,78830702,111,112,0.56
Tamil Nadu,11.1271,78.6569,2020-04-21,20246,47,0,39,82969084,111,112,0.23
Telangana,18.1124,79.0193,2020-04-21,2425,11,0,39,40254225,111,112,0.45
Tripura,23.9408,91.9882,2020-04-21,254,8,0,39,4225004,111,127,3.15
Uttar Pradesh,26.8467,80.9462,2020-04-21,7445,96,0,39,229784192,111,112,1.29
Uttarakhand,30.0668,79.0193,2020-04-21,716,185,0,39,11599235,111,117,25.84
West Bengal,22.9868,87.855,2020-04-21,4813,-67,0,39,104967532,111,112,-1.39
